session,time,strategy,coin,event,ticker,side,contracts,price,multiplier,fee,cost,payout,pnl,result,strike,btc_price,final_value,balance_after,model_prob,edge,why,tau,yes_bid,yes_ask,mkt_prob
20260920_222952,2026-09-20T22:30:53,Model,BTC,BET,KXBTC15M-26SEP210145-45,UP,60,0.61,1.64,1.0,37.6,,,,81595.01,81647.92,,996.78,0.684,0.057,entry,846,0.59,0.6,0.595
20260920_222952,2026-09-20T22:30:53,Anti Model,BTC,BET,KXBTC15M-26SEP210145-45,DOWN,86,0.42,2.38,1.47,37.59,,,,81595.01,81647.92,,995.36,0.316,-0.121,entry,846,0.59,0.6,0.595
20260920_222952,2026-09-20T22:31:00,Model,ETH,BET,KXETH15M-26SEP210145-45,DOWN,50,0.38,2.63,0.83,19.83,,,,2669.76,2670.71,,995.36,0.447,0.051,entry,839,0.63,0.64,0.635
20260920_222952,2026-09-20T22:31:00,Anti Model,ETH,BET,KXETH15M-26SEP210145-45,UP,29,0.65,1.54,0.47,19.32,,,,2669.76,2670.71,,992.14,0.553,-0.113,entry,839,0.63,0.64,0.635
20260920_222952,2026-09-20T22:31:13,Model,BTC,BET,KXBTC15M-26SEP210145-45,UP,66,0.72,1.39,0.94,48.46,,,,81595.01,81689.99,,995.19,0.789,0.055,entry,826,0.7,0.71,0.705
20260920_222952,2026-09-20T22:31:13,Anti Model,BTC,BET,KXBTC15M-26SEP210145-45,DOWN,149,0.31,3.23,2.24,48.43,,,,81595.01,81689.99,,978.69,0.211,-0.114,entry,826,0.7,0.71,0.705
20260920_222952,2026-09-20T22:31:17,Model,XRP,BET,KXXRP15M-26SEP210145-45,UP,54,0.69,1.45,0.81,38.07,,,,1.4237,1.4258,,991.11,0.756,0.051,entry,822,0.66,0.68,0.67
20260920_222952,2026-09-20T22:31:17,Anti Model,XRP,BET,KXXRP15M-26SEP210145-45,DOWN,67,0.35,2.86,1.07,24.52,,,,1.4237,1.4258,,976.56,0.244,-0.122,entry,822,0.66,0.68,0.67
20260920_222952,2026-09-20T22:31:41,Model,BTC,BET,KXBTC15M-26SEP210145-45,UP,86,0.77,1.3,1.07,67.29,,,,81595.01,81715.5,,994.91,0.851,0.069,entry,798,0.75,0.76,0.755
20260920_222952,2026-09-20T22:31:41,Anti Model,BTC,BET,KXBTC15M-26SEP210145-45,DOWN,246,0.26,3.85,3.32,67.28,,,,81595.01,81715.5,,950.36,0.149,-0.124,entry,798,0.75,0.76,0.755
20260920_222952,2026-09-20T22:32:24,Model,XRP,BET,KXXRP15M-26SEP210145-45,UP,29,0.68,1.47,0.45,20.17,,,,1.4237,1.4258,,986.28,0.747,0.052,entry,755,0.66,0.67,0.665
20260920_222952,2026-09-20T22:32:24,Anti Model,XRP,BET,KXXRP15M-26SEP210145-45,DOWN,13,0.35,2.86,0.21,4.76,,,,1.4237,1.4258,,975.9,0.253,-0.113,entry,755,0.66,0.67,0.665
20260920_222952,2026-09-20T22:34:00,Lottery,XRP,BET,KXXRP15M-26SEP210145-45,DOWN,47,0.08,12.82,0.24,3.91,,,,1.4237,1.4315,,999.21,0.233,0.15,entry,660,0.927,0.929,0.928
20260920_222952,2026-09-20T22:34:00,Anti Lottery,XRP,BET,KXXRP15M-26SEP210145-45,UP,4,0.94,1.06,0.02,3.78,,,,1.4237,1.4315,,999.91,0.767,-0.176,entry,660,0.927,0.929,0.928
20260920_222952,2026-09-20T22:35:03,Lottery,DOGE,BET,KXDOGE15M-26SEP210145-45,DOWN,34,0.07,14.93,0.15,2.43,,,,0.088635,0.08906,,997.72,0.194,0.123,entry,597,0.938,0.941,0.94
20260920_222952,2026-09-20T22:35:03,Anti Lottery,DOGE,BET,KXDOGE15M-26SEP210145-45,UP,2,0.95,1.05,0.01,1.91,,,,0.088635,0.08906,,999.95,0.806,-0.148,entry,597,0.938,0.941,0.94
20260920_222952,2026-09-20T22:36:07,Model,DOGE,BET,KXDOGE15M-26SEP210145-45,DOWN,25,0.17,5.88,0.25,4.5,,,,0.088635,0.08883,,1035.09,0.232,0.053,entry,532,0.84,0.85,0.845
20260920_222952,2026-09-20T22:36:07,Anti Model,DOGE,BET,KXDOGE15M-26SEP210145-45,UP,5,0.86,1.16,0.05,4.35,,,,0.088635,0.08883,,884.49,0.768,-0.1,entry,532,0.84,0.85,0.845
20260920_222952,2026-09-20T22:36:08,Value,DOGE,BET,KXDOGE15M-26SEP210145-45,DOWN,1,0.17,5.88,0.01,0.18,,,,0.088635,0.0888,,999.96,0.211,0.032,entry,531,0.84,0.85,0.845
20260920_222952,2026-09-20T22:36:08,Scalper,DOGE,BET,KXDOGE15M-26SEP210145-45,DOWN,1,0.17,5.88,0.01,0.18,,,,0.088635,0.0888,,999.96,0.211,0.032,entry,531,0.84,0.85,0.845
20260920_222952,2026-09-20T22:36:46,Model,DOGE,BET,KXDOGE15M-26SEP210145-45,DOWN,1,0.32,3.12,0.02,0.34,,,,0.088635,0.0887,,1038.77,0.402,0.067,entry,493,0.69,0.7,0.695
